Country,Drought,Earthquake,Extreme temperature ,Flood,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,pop2025,Agglo_Cluster,Cluster_Label,PCA1,PCA2,GMM_Cluster,KMeans_Cluster,KMeans_Label
Afghanistan,24.0,153.0,24.0,108.0,12.0,45.0,0.0,48.0,0.0,12.0,43844100,0,Flood Dominant,-0.7226690705918059,-0.029430704757366307,0,4,Heat & Drought Affected
Angola,48.0,0.0,0.0,105.0,0.0,12.0,0.0,0.0,0.0,0.0,39040000,2,Flood Dominant,-1.4917156218500212,-0.648742206282174,0,4,Heat & Drought Affected
Australia,72.0,48.0,0.0,480.0,48.0,48.0,0.0,504.0,0.0,216.0,26974000,1,Flood Dominant,1.9579877504600884,-1.5938081182801154,0,3,High Population Mixed Risk
Bangladesh,12.0,60.0,60.0,84.0,0.0,36.0,0.0,204.0,0.0,0.0,175687000,2,Flood Dominant,-0.7768051511708999,-0.15844033171431354,0,4,Heat & Drought Affected
Brazil,432.0,144.0,288.0,1296.0,72.0,432.0,0.0,1062.0,0.0,216.0,212812000,3,Storm & Wildfire Prone,9.198085884861952,-2.3246774257862084,1,2,Storm & Wildfire Dominant
Canada,24.0,0.0,42.0,432.0,0.0,48.0,24.0,600.0,0.0,216.0,40126700,1,Flood Dominant,1.4135019641334667,-0.7981862835996896,0,3,High Population Mixed Risk
Chile,0.0,120.0,84.0,132.0,0.0,36.0,0.0,96.0,72.0,96.0,19859900,0,Flood Dominant,-0.19114272268649882,-0.17082327820559876,0,1,Low Disaster & Low Population
China,0.0,192.0,0.0,768.0,0.0,0.0,144.0,384.0,0.0,0.0,1416100000,4,Low Disaster Risk,1.3216940400959214,5.678218309267042,2,0,Flood & Earthquake Prone
Colombia,24.0,258.0,0.0,426.0,24.0,264.0,24.0,168.0,96.0,72.0,53425600,0,Flood Dominant,1.4025215101514759,1.0700841845481222,0,1,Low Disaster & Low Population
Egypt,0.0,144.0,108.0,324.0,0.0,0.0,36.0,180.0,0.0,0.0,118366000,0,Flood Dominant,-0.01018460511727598,0.9004920156418751,0,1,Low Disaster & Low Population
Ethiopia,12.0,24.0,0.0,237.0,48.0,24.0,12.0,0.0,36.0,12.0,135472000,2,Flood Dominant,-0.5907585551179836,-0.3990087291030231,0,4,Heat & Drought Affected
France,12.0,0.0,0.0,24.0,0.0,12.0,0.0,72.0,0.0,12.0,66650800,2,Flood Dominant,-1.6082101949547822,-0.5709531690917358,0,4,Heat & Drought Affected
Germany,0.0,24.0,0.0,24.0,0.0,12.0,0.0,84.0,0.0,0.0,84075100,2,Flood Dominant,-1.6362748315322597,-0.3621193733999991,0,4,Heat & Drought Affected
India,0.0,294.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,1463870000,0,Low Disaster Risk,-0.6444060549602832,3.327435461385282,2,1,Low Disaster & Low Population
Indonesia,72.0,288.0,0.0,384.0,0.0,288.0,0.0,192.0,354.0,144.0,285721000,0,Heat & Drought Regions,2.0597160893607995,1.6351449279986454,3,1,Low Disaster & Low Population
Iraq,12.0,12.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,47020800,2,Flood Dominant,-1.6875308736105072,-0.47440754951743574,0,4,Heat & Drought Affected
Italy,0.0,12.0,12.0,72.0,0.0,12.0,0.0,48.0,12.0,12.0,59146300,2,Flood Dominant,-1.525163861083644,-0.4529838454905537,0,4,Heat & Drought Affected
Japan,0.0,48.0,0.0,114.0,0.0,0.0,0.0,72.0,48.0,0.0,123103000,2,Flood Dominant,-1.4148532720064582,-0.03763339477434917,0,4,Heat & Drought Affected
Kenya,12.0,0.0,0.0,120.0,0.0,24.0,0.0,0.0,0.0,0.0,57532500,2,Flood Dominant,-1.6020697368563557,-0.4967886441790853,0,4,Heat & Drought Affected
Mexico,48.0,120.0,120.0,381.0,0.0,84.0,0.0,204.0,60.0,48.0,131947000,0,Flood Dominant,0.7636073873908671,-0.00948225183310122,0,1,Low Disaster & Low Population
Morocco,36.0,12.0,24.0,216.0,24.0,12.0,12.0,24.0,0.0,0.0,38430800,2,Flood Dominant,-0.8249841813727437,-0.5590514097035604,0,4,Heat & Drought Affected
Nigeria,0.0,0.0,72.0,315.0,72.0,36.0,0.0,108.0,0.0,0.0,237528000,2,Flood Dominant,0.20299114619924438,-0.923484214279329,0,4,Heat & Drought Affected
Pakistan,0.0,288.0,252.0,504.0,36.0,540.0,36.0,396.0,0.0,0.0,255220000,0,Earthquake Zones,3.767376152432447,1.4343669939089625,4,1,Low Disaster & Low Population
Peru,48.0,177.0,45.0,192.0,12.0,168.0,12.0,36.0,33.0,12.0,34576700,0,Flood Dominant,0.10520165620343881,0.35148349362164244,0,1,Low Disaster & Low Population
Senegal,12.0,0.0,0.0,168.0,36.0,0.0,0.0,12.0,0.0,0.0,18932000,2,Flood Dominant,-1.1261703704262527,-0.9150572595085824,0,4,Heat & Drought Affected
Somalia,60.0,0.0,0.0,156.0,0.0,0.0,0.0,12.0,0.0,0.0,19654700,2,Flood Dominant,-1.3647695840877845,-0.7094326816525763,0,4,Heat & Drought Affected
South Africa,72.0,96.0,48.0,504.0,0.0,24.0,0.0,402.0,0.0,144.0,64747300,1,Flood Dominant,1.1918446473391247,-0.6613895067128712,0,3,High Population Mixed Risk
Spain,0.0,24.0,0.0,60.0,0.0,0.0,0.0,72.0,0.0,24.0,47890000,2,Flood Dominant,-1.531093120983084,-0.47650200904964,0,4,Heat & Drought Affected
Thailand,0.0,12.0,0.0,96.0,0.0,36.0,0.0,96.0,0.0,0.0,71619900,2,Flood Dominant,-1.458570700322071,-0.41228965882270263,0,4,Heat & Drought Affected
Ukraine,0.0,0.0,36.0,81.0,0.0,0.0,0.0,48.0,0.0,0.0,38980400,2,Flood Dominant,-1.522748484615009,-0.57126561019221,0,4,Heat & Drought Affected
Zimbabwe,24.0,0.0,0.0,60.0,0.0,0.0,0.0,36.0,0.0,0.0,16950800,2,Flood Dominant,-1.6544072352831072,-0.6412677304353461,0,4,Heat & Drought Affected
